problem_id,all_attempts,successful_attempts
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@666bcc59d7984e269b5f6f7cd36177c4,228,112
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@6835bd485eb549348c3925bca1019c8a,104,99
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@6857d6f864d54beeb44ae4c88408b16a,89,87
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@6885dc891b9241c1986c101b02169178,117,103
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@69d92972e6774e04aa9309af9d512709,73,35
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@6a4d0cd55aa513e470c8,18,6
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@6bc11adc3f1547d7b804b598a30524fb,221,44
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@6c1c99f4c7a1489d84d5a8f247a117fe,164,90
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@6c2285bfb45045a4ae3e7ffec96ff205,16,8
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@6d3901874de24eafadd3bfb0c298e347,43,41
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@6daeb72be94f4844822139c16cc7bdf8,52,50
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@6e51b7ba21774863b1d781a20e686872,84,39
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7019598e50b049a5bcc4042ed27a9b58,75,49
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@70fcaabb1b0b40b5bf062f986b7d8141,86,53
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@71ad21e5ee444d2e8c862d51ec745e29,85,69
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@730a324e794d485f81a8a3d6fbdd7ba3,136,88
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7372f6c570124d0bb887cd591dd2cc8c,83,51
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7391e346eb2d45c0ab3e3fa28ae593f5,83,52
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@74464b33a45b4b90b43e3862d97b4415,77,40
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@76ad69936f48477ebb5b3845901754fe,184,54
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7761b466bc474af4b5e0dad965abac50,243,127
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7812a24fd43e49a2ad202b6c6c75c95f,103,89
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@79a33b1b8932d3139242,25,11
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@79e871cc31714670afa7797ab20c22af,95,87
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7b0cc87c047d4efab7de9ca1fe4da158,114,106
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7b97bffb52474244a10853e113f6efb2,175,92
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7bd64975df7c4486b5566224056c2dcb,57,57
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7c4def104cdf404cbc509ea0166756dd,32,17
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7c50d262b9174180bf7bf15f574130f9,82,80
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7dacdb77be044d92b883a3737de40bbb,32,14
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7de52006705b425cab2443f2bdd229a2,75,46
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7fd0838f083d461fbdd0724b84f2659b,57,56
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8005a7cf95cc43dfb501334c2068aaa1,129,90
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@80913220821b49009d3a1d15aafbf6cf,100,90
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@809c6d573b9b4b478d815488381f84df,34,19
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@811df105c44f48019e3ed371a2af9868,69,49
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@811f4ffd287c05c17ae1,7,2
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8160237ddb174fad944eb9de1f5e16fd,80,41
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@826c5854a6104040b08687c64fbd9c09,57,56
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@836bb4a8fc8e47a788eb4c01bfea2bb3,121,90
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@83db50a5637a4e34a565ef2c1d19727d,145,121
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8468ec214fa0494cabf71a1a04c48c12,395,130
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@84d9793f29ab4fd3b17c492ef083a7c9,115,86
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@84e12dc73f8d42969216b4ebe508420f,98,72
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@84e3494e91ec4afe9d05a663a7d9d425,159,137
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8570d4e1f1372379566c,27,6
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@85b5b2510e194bfd8283492187371321,252,105
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@85debfa679fe4ec1b195497a1d15385c,30,15
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@87d0bc0c3973473193e6fa7dd90d37cc,192,105
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@888d9b37bcd04c3ebafe47a2b2207e72,49,39
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@88bb238a18974e74bc3fdbda8e914173,15,8
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8a17ec37ee5e4c363443,11,5
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8a86f62ce7854dc797757280aeaf6d57,153,74
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8aa398110241433aa55e4ff65f4aa56e,114,90
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8c75f26e994f47b582733ca3cc7edfc7,103,80
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8dd6a6b9065e43b89bba2142ab8d7c5e,67,57
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8f13e34645ce46d28b74ef77db804599,112,87
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8fc8025f165a42259a7339611eee21e7,117,52
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8ff561f433df46b1a8490a0ae78541f4,143,48
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8ff6e39e9d834647b00af3fcf56c676d,95,93
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8ff7bdd1b84d4d49ab37efdd5bf92010,30,16
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@912cbc4c5efb45cf98538d261b4ddda0,133,119
