page_link,visits_count
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@ccb1d70b556f4be9ac11c4fcdab19c43,9
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/484762194a504410855c71caa954ca7b/3e9b4d8b02ef461aab3fe79a82f954bf/,7
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/16463d231909400498b55f1e27ff9fa9/bce8f3df72f84eb88499a7e2099f8be7/1,6
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/pdfbook/0/,11
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/a4cffffbad70416bafa2b5a67525c1c8/d07c2c0ac7bb4a328545827e192e5b52/1,5
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/1f04e176f3ab4e57aa8279610f03fc06/080cb770c2974b679b8b326e0bc0d0fa/1,3
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/16463d231909400498b55f1e27ff9fa9/c02500091dc949b6b0ad69288abcf63b/1,2
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/484762194a504410855c71caa954ca7b/8efc4e76687a46c5b1e44bb158c1228e/1,2
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/484762194a504410855c71caa954ca7b/8efc4e76687a46c5b1e44bb158c1228e/,3
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/b66d79f0b8ca4b78bc2de7b9555d7286/a5db68bf79e944419d52014684b6f719/,2
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/b66d79f0b8ca4b78bc2de7b9555d7286/fae56b3995574e01becd2cdf741456b8/1,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/cbf1ecb85bf7450fb4ec716fe59f0f03/c49f95fd3a894f88bc971cfdf37da659/1,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/cbf1ecb85bf7450fb4ec716fe59f0f03/f70d5986af0843a5ba1be40b5d52ea3e/,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/instructor,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/16463d231909400498b55f1e27ff9fa9/508eceabde624b5ea20a8f5bc88823ef/,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/16463d231909400498b55f1e27ff9fa9/a62417b3ccae432a93bae5ca8027a9f1/1,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/16463d231909400498b55f1e27ff9fa9/85e78cb44c1341c0898fba9e0b638ff5/,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/16463d231909400498b55f1e27ff9fa9/c02500091dc949b6b0ad69288abcf63b/,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/38719609bff540739be088c7e325eb95/611e20f03a584e8a9cdaa85141e4ad07/1,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/16463d231909400498b55f1e27ff9fa9/1d8bdeb08eb94c14b6038dffa1737a58/,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/a2a413c671134a989bbed1781c030756/8799df5fc731471f91295f6cf18fa2e7/1,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/a4cffffbad70416bafa2b5a67525c1c8/c9f95fe64ee144b493b8b3864bb0581a/,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/b3c2a3cc716b434397c089c31fafeddc/23aa86be09724185921eb54e624efbae/1,1
